Album,Total Pre-Orders,Days After Previous Release,Sales Per Day,Type
TWICEcoaster: LANE 1,28859,182,158.5659341,EP
TWICEcoaster: LANE 2,39145,119,328.9495798,Repackage
SIGNAL,58947,84,701.75,EP
twicetagram,69022,168,410.8452381,Album
Merry & Happy,28644,42,682,Repackage
What is Love?,41268,119,346.789916,EP
Summer Nights,41792,91,459.2527473,Repackage
YES or YES,47366,119,398.0336134,EP
"The Year of ""YES""",29935,37,809.0540541,Repackage
FANCY YOU,51786,131,395.3129771,EP
Feel Special,49239,154,319.7337662,EP
MORE & MORE,121019,252,480.234127,EP
Eyes wide open,66000,147,448.9795918,Album
